#start_time(samples),start_time(iso),end_time(samples),end_time(iso),current_mean(A),current_min(A),current_max(A),voltage_mean(V),voltage_min(V),voltage_max(V),power_mean(W),power_min(W),power_max(W),charge(C),charge(Ah),energy(J),energy(Wh)
2874856750,2023-01-18T13:25:25.107164,2874871298,2023-01-18T13:25:25.214800,0.00948176,0.00925194,0.0100779,3.27135,3.26713,3.27508,0.0310182,0.0302588,0.0329829,6.89608e-05,1.91558e-08,0.000225595,6.26653e-08
2885076825,2023-01-18T13:25:30.238424,2950879307,2023-01-18T13:26:03.214113,0.00738745,0.00354822,0.0114484,3.2784,3.26145,3.29437,0.0242179,0.011673,0.0373905,0.243056,6.75157e-05,0.796799,0.000221333
2950887221,2023-01-18T13:26:03.215554,2950903221,2023-01-18T13:26:03.217606,0.0094712,0.00900656,0.00992825,3.2722,3.26826,3.27621,0.0309916,0.0294869,0.0324707,7.57601e-05,2.10445e-08,0.000247902,6.88616e-08
2961103851,2023-01-18T13:26:08.311947,3026323312,2023-01-18T13:26:40.944997,0.00739112,0.00352727,0.0114215,3.27827,3.26259,3.29437,0.0242289,0.0116041,0.0372896,0.241022,6.69507e-05,0.790099,0.000219472
3026331198,2023-01-18T13:26:40.946779,3026347196,2023-01-18T13:26:40.953964,0.0094641,0.00908137,0.00995518,3.27146,3.26713,3.27508,0.0309614,0.0297216,0.0325701,7.56938e-05,2.10261e-08,0.000247629,6.87859e-08
3036503840,2023-01-18T13:26:45.973421,3101500541,2023-01-18T13:27:18.486185,0.00739342,0.00355121,0.0114455,3.27835,3.26145,3.29437,0.024237,0.0116829,0.0373808,0.240274,6.67428e-05,0.787664,0.000218796
3101508342,2023-01-18T13:27:18.487060,3101524341,2023-01-18T13:27:18.488031,0.00947015,0.00901254,0.00990431,3.2713,3.26713,3.27508,0.0309796,0.0294963,0.0323811,7.5747e-05,2.10408e-08,0.000247791,6.88307e-08
3111641742,2023-01-18T13:27:23.507659,3178012559,2023-01-18T13:27:56.789928,0.00738209,0.00351829,0.0114514,3.2781,3.26259,3.29437,0.0241981,0.0115746,0.0374133,0.244978,6.80494e-05,0.803024,0.000223062
3178020374,2023-01-18T13:27:56.792222,3178036391,2023-01-18T13:27:56.794555,0.00950729,0.00927887,0.010036,3.27135,3.26713,3.27508,0.0311017,0.0303469,0.032823,7.61296e-05,2.11471e-08,0.000249047,6.91797e-08
3188283835,2023-01-18T13:28:01.890324,3254525522,2023-01-18T13:28:35.033662,0.00738673,0.00353026,0.0114574,3.27833,3.26145,3.29437,0.0242149,0.011606,0.0373939,0.244655,6.79596e-05,0.802019,0.000222783
3254533249,2023-01-18T13:28:35.035119,3254549253,2023-01-18T13:28:35.036919,0.00948605,0.00902451,0.00993423,3.27153,3.26826,3.27508,0.0310339,0.029556,0.0324903,7.58979e-05,2.10827e-08,0.000248302,6.89728e-08
3264781031,2023-01-18T13:28:40.062959,3330618833,2023-01-18T13:29:13.032113,0.00739363,0.00353326,0.0114484,3.27848,3.26259,3.29437,0.0242387,0.0116198,0.0374068,0.24339,6.76084e-05,0.797912,0.000221642
3330626791,2023-01-18T13:29:13.033084,3330642789,2023-01-18T13:29:13.034414,0.00947718,0.00903947,0.00994022,3.27196,3.26713,3.27621,0.031009,0.0295947,0.0325098,7.57985e-05,2.10551e-08,0.00024801,6.88916e-08
3340850072,2023-01-18T13:29:18.161574,3406645243,2023-01-18T13:29:51.060223,0.00739485,0.00354822,0.0115083,3.27835,3.26259,3.29324,0.0242418,0.011673,0.037573,0.243273,6.75758e-05,0.797496,0.000221527
3406653214,2023-01-18T13:29:51.061575,3406669212,2023-01-18T13:29:51.063996,0.00947774,0.00900955,0.00992825,3.27152,3.26713,3.27508,0.0310066,0.0294763,0.0324707,7.5803e-05,2.10564e-08,0.000247991,6.88863e-08
3416841600,2023-01-18T13:29:56.179914,3483453162,2023-01-18T13:30:29.443205,0.00738796,0.00354523,0.0114455,3.27845,3.26259,3.29437,0.02422,0.0116632,0.0373678,0.246062,6.83505e-05,0.806665,0.000224074
3483461061,2023-01-18T13:30:29.444262,3483477060,2023-01-18T13:30:29.445978,0.00947688,0.00900955,0.00993423,3.2717,3.26826,3.27621,0.0310055,0.0294763,0.0324903,7.58008e-05,2.10558e-08,0.000247998,6.88882e-08
3493664863,2023-01-18T13:30:34.558546,3559504010,2023-01-18T13:31:07.511142,0.00739386,0.00352428,0.0114664,3.27841,3.26259,3.29437,0.024239,0.0115943,0.0374492,0.243403,6.76119e-05,0.797936,0.000221649
3559511940,2023-01-18T13:31:07.518351,3559527938,2023-01-18T13:31:07.521025,0.00947621,0.00909035,0.00998211,3.27188,3.26826,3.27621,0.031005,0.0297406,0.0326582,7.57908e-05,2.1053e-08,0.000247978,6.88827e-08
3569798275,2023-01-18T13:31:12.636908,3635472494,2023-01-18T13:31:45.484153,0.00738399,0.00355121,0.0114634,3.27839,3.26259,3.29437,0.0242064,0.0116869,0.0374394,0.242469,6.73525e-05,0.79487,0.000220797
3635480500,2023-01-18T13:31:45.485235,3635496497,2023-01-18T13:31:45.486682,0.00946655,0.00908436,0.00988336,3.27204,3.26826,3.27621,0.0309749,0.0297406,0.0323239,7.57087e-05,2.10302e-08,0.000247722,6.88116e-08
3645734018,2023-01-18T13:31:50.600915,3716388429,2023-01-18T13:32:25.938977,0.00738846,0.00352727,0.0114604,3.27829,3.26259,3.29437,0.0242204,0.0116041,0.0374296,0.261014,7.25038e-05,0.855637,0.000237677
3716396158,2023-01-18T13:32:25.940497,3716413398,2023-01-18T13:32:25.949698,0.00946535,0.00923698,0.010018,3.27157,3.26826,3.27508,0.0309666,0.0302099,0.0327643,8.15818e-05,2.26616e-08,0.000266901,7.41391e-08
3726599093,2023-01-18T13:32:31.063855,3799406804,2023-01-18T13:33:07.428561,0.00736809,0.0035153,0.0114484,3.27858,3.26145,3.29437,0.0241557,0.0115648,0.0374035,0.268227,7.45075e-05,0.879361,0.000244267
3799414628,2023-01-18T13:33:07.429460,3799431866,2023-01-18T13:33:07.431354,0.00946417,0.00922501,0.010015,3.27167,3.26826,3.27508,0.0309636,0.0301805,0.0327659,8.15622e-05,2.26562e-08,0.000266844,7.41235e-08
3809638234,2023-01-18T13:33:12.565030,3880468861,2023-01-18T13:33:47.966650,0.00738504,0.00353026,0.0114305,3.27827,3.26145,3.29437,0.024209,0.011618,0.0373481,0.261544,7.2651e-05,0.857369,0.000238158
3880476694,2023-01-18T13:33:47.967903,3880493935,2023-01-18T13:33:47.976571,0.00946361,0.00911429,0.00990431,3.27139,3.26826,3.27508,0.0309591,0.0298287,0.0323924,8.15716e-05,2.26588e-08,0.000266852,7.41256e-08
3890662731,2023-01-18T13:33:53.078831,3960665265,2023-01-18T13:34:28.075041,0.00739354,0.00353326,0.0114335,3.27836,3.26259,3.29437,0.0242375,0.0116278,0.0373417,0.258783,7.18843e-05,0.848344,0.000235651
3960673072,2023-01-18T13:34:28.076427,3960690311,2023-01-18T13:34:28.078376,0.00946888,0.00922501,0.0101258,3.27157,3.26713,3.27621,0.0309781,0.0301812,0.0331051,8.16075e-05,2.26688e-08,0.000266985,7.41625e-08
3970831125,2023-01-18T13:34:33.101472,4041781742,2023-01-18T13:35:08.601025,0.00738356,0.00354523,0.0114275,3.27831,3.26259,3.29437,0.0242044,0.0116632,0.0373092,0.261934,7.27595e-05,0.85866,0.000238517
4041789531,2023-01-18T13:35:08.601932,4041806769,2023-01-18T13:35:08.603427,0.00945776,0.00921304,0.0099492,3.27183,3.26713,3.27508,0.0309442,0.0301316,0.0325505,8.1507e-05,2.26408e-08,0.000266677,7.4077e-08
4051986891,2023-01-18T13:35:13.718723,4123769952,2023-01-18T13:35:49.615322,0.00737613,0.00354523,0.0114275,3.27853,3.26259,3.29437,0.0241817,0.0116632,0.0373351,0.26474,7.3539e-05,0.867917,0.000241088
4123777857,2023-01-18T13:35:49.616029,4123795096,2023-01-18T13:35:49.616943,0.00946032,0.00901853,0.0099492,3.27204,3.26826,3.27621,0.0309545,0.0295159,0.0325505,8.15337e-05,2.26483e-08,0.000266782,7.4106e-08
4134061166,2023-01-18T13:35:54.728276,4205113373,2023-01-18T13:36:30.287317,0.00738264,0.00351829,0.0114335,3.27852,3.26259,3.29437,0.024203,0.0115786,0.0373547,0.262276,7.28545e-05,0.859837,0.000238844
4205121244,2023-01-18T13:36:30.287855,4205138482,2023-01-18T13:36:30.288531,0.00945799,0.00900955,0.00991628,3.27157,3.26713,3.27508,0.0309425,0.0294763,0.0324428,8.1509e-05,2.26414e-08,0.000266662,7.40728e-08
4215264358,2023-01-18T13:36:35.390327,4286428052,2023-01-18T13:37:10.936647,0.00738164,0.00353924,0.0114784,3.27855,3.26145,3.29437,0.0241999,0.0116475,0.0374883,0.262652,7.29589e-05,0.861076,0.000239188
4286436005,2023-01-18T13:37:10.937827,4286453248,2023-01-18T13:37:10.939673,0.00947249,0.00893773,0.00991927,3.27181,3.26826,3.27508,0.0309922,0.0292413,0.0324301,8.16576e-05,2.26827e-08,0.000267168,7.42134e-08
4296656847,2023-01-18T13:37:16.052665,4368822257,2023-01-18T13:37:52.144576,0.00738787,0.00353625,0.0114455,3.27842,3.26259,3.29437,0.0242193,0.0116297,0.0373938,0.266574,7.40484e-05,0.873899,0.00024275
4368830161,2023-01-18T13:37:52.145665,4368847407,2023-01-18T13:37:52.147088,0.00947673,0.00907239,0.0100569,3.27166,3.26713,3.27621,0.0310046,0.0296922,0.0328801,8.17083e-05,2.26968e-08,0.000267322,7.4256e-08
4378945799,2023-01-18T13:37:57.161956,4449625811,2023-01-18T13:38:32.500341,0.00739683,0.00353924,0.0114484,3.27825,3.26145,3.29437,0.0242475,0.0116475,0.0373905,0.261404,7.26122e-05,0.856907,0.00023803
4449633697,2023-01-18T13:38:32.607736,4449650936,2023-01-18T13:38:32.609851,0.00947301,0.00905144,0.00997912,3.27205,3.26826,3.27621,0.0309961,0.0296442,0.0326597,8.16431e-05,2.26786e-08,0.00026714,7.42056e-08
4459776378,2023-01-18T13:38:37.626895,4537465595,2023-01-18T13:39:16.508835,0.00738686,0.00351829,0.0114514,3.27856,3.26259,3.29437,0.0242171,0.0115786,0.0373873,0.28694,7.97055e-05,0.940702,0.000261306
4537473388,2023-01-18T13:39:16.510569,4537491870,2023-01-18T13:39:16.512871,0.00946877,0.00902152,0.00993723,3.27158,3.26713,3.27508,0.0309778,0.0295257,0.0324917,8.74915e-05,2.43032e-08,0.000286235,7.95097e-08
4547630235,2023-01-18T13:39:21.526948,4623712532,2023-01-18T13:39:59.633122,0.00740014,0.00353625,0.0114335,3.2782,3.26032,3.29324,0.0242579,0.0116377,0.0373287,0.28151,7.81972e-05,0.9228,0.000256333
4623720390,2023-01-18T13:39:59.635328,4623738871,2023-01-18T13:39:59.638371,0.00946957,0.00905144,0.00993124,3.27146,3.26713,3.27508,0.0309793,0.0296236,0.0324579,8.74941e-05,2.43039e-08,0.000286233,7.95093e-08
4633927654,2023-01-18T13:40:04.649571,4710753989,2023-01-18T13:40:43.078502,0.00739361,0.00352428,0.0114544,3.27827,3.26259,3.29437,0.0242371,0.0116023,0.0374101,0.284012,7.88923e-05,0.931022,0.000258617
4710761693,2023-01-18T13:40:43.078979,4710780181,2023-01-18T13:40:43.184367,0.00947355,0.00901254,0.00993423,3.27184,3.26713,3.27508,0.030996,0.0294861,0.032479,8.75641e-05,2.43233e-08,0.000286496,7.95822e-08
4720891379,2023-01-18T13:40:48.198427,4796180714,2023-01-18T13:41:25.849007,0.00740579,0.00354523,0.0114724,3.27831,3.26145,3.29437,0.0242773,0.0116672,0.0374818,0.278789,7.74413e-05,0.91391,0.000253864
4796188463,2023-01-18T13:41:25.850275,4796206942,2023-01-18T13:41:25.852063,0.00948476,0.00926391,0.010018,3.27165,3.26826,3.27621,0.0310308,0.0302979,0.0327643,8.76249e-05,2.43403e-08,0.000286678,7.96328e-08
4806346038,2023-01-18T13:41:30.874267,4883820414,2023-01-18T13:42:09.676037,0.00739176,0.00350632,0.0114514,3.27858,3.26259,3.29437,0.0242333,0.0115392,0.0374263,0.286336,7.95378e-05,0.938729,0.000260758
4883828332,2023-01-18T13:42:09.677940,4883846810,2023-01-18T13:42:09.687793,0.00947245,0.00901553,0.00988635,3.27219,3.26826,3.27621,0.0309956,0.0295061,0.0323449,8.75065e-05,2.43074e-08,0.000286338,7.95383e-08
4894050463,2023-01-18T13:42:14.721731,4970367543,2023-01-18T13:42:52.934795,0.00740097,0.00350632,0.0114574,3.27848,3.26259,3.29437,0.0242627,0.0115392,0.0374069,0.28241,7.84473e-05,0.92583,0.000257175
4970375364,2023-01-18T13:42:52.940174,4970393846,2023-01-18T13:42:52.942346,0.00947771,0.00907838,0.00991329,3.27136,3.26713,3.27508,0.0310049,0.0297118,0.0324217,8.7574e-05,2.43261e-08,0.000286486,7.95793e-08
4980562601,2023-01-18T13:42:57.948747,5056975562,2023-01-18T13:43:36.250260,0.0073999,0.00352428,0.0114455,3.27838,3.26259,3.29437,0.0242585,0.0115943,0.0373808,0.282724,7.85344e-05,0.926832,0.000257453
5056983396,2023-01-18T13:43:36.252218,5057001880,2023-01-18T13:43:36.253962,0.00947911,0.00924596,0.00995219,3.27196,3.26826,3.27621,0.0310152,0.0302497,0.032552,8.75964e-05,2.43323e-08,0.000286612,7.96144e-08
5067187036,2023-01-18T13:43:41.276798,5143064750,2023-01-18T13:44:19.298810,0.0074056,0.00351829,0.0114455,3.27851,3.26259,3.29437,0.0242781,0.0115746,0.0373808,0.28096,7.80445e-05,0.921085,0.000255857
5143072544,2023-01-18T13:44:19.300836,5143091029,2023-01-18T13:44:19.307457,0.00947857,0.00904546,0.00998211,3.27244,3.26826,3.27621,0.031018,0.0295938,0.0326355,8.75962e-05,2.43323e-08,0.000286653,7.96258e-08
5153263382,2023-01-18T13:44:24.326737,5229118571,2023-01-18T13:45:02.244111,0.00740656,0.00354822,0.0114634,3.27837,3.26259,3.29324,0.0242803,0.011673,0.0374264,0.280913,7.80314e-05,0.920892,0.000255803
5229126522,2023-01-18T13:45:02.244633,5229145019,2023-01-18T13:45:02.354667,0.00948481,0.0091472,0.010024,3.27176,3.26713,3.27508,0.031032,0.0299266,0.0327725,8.77107e-05,2.43641e-08,0.000286969,7.97136e-08
5239276985,2023-01-18T13:45:07.344531,5314147380,2023-01-18T13:45:44.872038,0.00741314,0.00354523,0.0114514,3.27824,3.26259,3.29324,0.0243009,0.0116632,0.0373938,0.277513,7.70868e-05,0.909708,0.000252697
5314155242,2023-01-18T13:45:44.874492,5314173721,2023-01-18T13:45:44.880655,0.00947686,0.00906341,0.00991329,3.27156,3.26713,3.27508,0.0310041,0.0296731,0.0324105,8.7552e-05,2.432e-08,0.000286431,7.95643e-08
5324358888,2023-01-18T13:45:49.881657,5404478070,2023-01-18T13:46:29.959755,0.00740658,0.00353026,0.0114814,3.27846,3.26145,3.29551,0.024281,0.01161,0.0374915,0.296705,8.2418e-05,0.972686,0.000270191
5404485871,2023-01-18T13:46:29.960649,5404505393,2023-01-18T13:46:29.962100,0.00947011,0.00923099,0.00994022,3.27207,3.26826,3.27621,0.0309869,0.0301903,0.0324985,9.24283e-05,2.56745e-08,0.000302432,8.40089e-08
5414697388,2023-01-18T13:46:35.078517,5495433128,2023-01-18T13:47:15.411738,0.00739943,0.00355121,0.0114574,3.27834,3.26145,3.29437,0.0242567,0.0116869,0.0374101,0.298699,8.2972e-05,0.979191,0.000271997
5495441046,2023-01-18T13:47:15.521398,5495460565,2023-01-18T13:47:15.524404,0.0094744,0.00900356,0.010024,3.27171,3.26826,3.27508,0.0309975,0.0294771,0.0327839,9.2456e-05,2.56822e-08,0.000302489,8.40247e-08
5505645435,2023-01-18T13:47:20.529019,5587082602,2023-01-18T13:48:01.316834,0.00739557,0.00353625,0.0114245,3.27851,3.26259,3.29437,0.0242452,0.0116417,0.0373124,0.301137,8.36492e-05,0.987232,0.000274231
5587090497,2023-01-18T13:48:01.324637,5587110017,2023-01-18T13:48:01.327511,0.00946986,0.00911728,0.00988336,3.27191,3.26826,3.27621,0.0309845,0.0298287,0.0323351,9.24164e-05,2.56712e-08,0.000302378,8.39939e-08
5597351770,2023-01-18T13:48:06.424998,5678810243,2023-01-18T13:48:47.137887,0.00739472,0.00353026,0.0114604,3.27848,3.26259,3.29437,0.0242422,0.011614,0.0374427,0.301181,8.36615e-05,0.987366,0.000274268
5678818132,2023-01-18T13:48:47.144452,5678837650,2023-01-18T13:48:47.146539,0.0094738,0.00902451,0.00989832,3.2717,3.26713,3.27508,0.0309954,0.0295355,0.0323953,9.24454e-05,2.56793e-08,0.000302453,8.40147e-08
5689038169,2023-01-18T13:48:52.264441,5770067698,2023-01-18T13:49:32.810267,0.00739759,0.00351829,0.0114514,3.27838,3.26145,3.29437,0.0242509,0.0115826,0.0374133,0.299712,8.32532e-05,0.982519,0.000272922
5770075503,2023-01-18T13:49:32.811692,5770095021,2023-01-18T13:49:32.817386,0.00947103,0.00923997,0.010024,3.27186,3.26826,3.27508,0.0309879,0.0302196,0.0328066,9.24183e-05,2.56718e-08,0.00030238,8.39943e-08
5780318703,2023-01-18T13:49:37.826751,5861850290,2023-01-18T13:50:18.675623,0.00739486,0.00353625,0.0114425,3.27864,3.26259,3.29437,0.0242439,0.0116377,0.0373644,0.301457,8.37382e-05,0.98832,0.000274533
5861858274,2023-01-18T13:50:18.676591,5861877791,2023-01-18T13:50:18.678243,0.0094699,0.00915917,0.00995817,3.27199,3.26826,3.27621,0.0309854,0.0299554,0.0325912,9.24026e-05,2.56674e-08,0.00030234,8.39835e-08
5872128243,2023-01-18T13:50:23.789484,5952837931,2023-01-18T13:51:04.186566,0.0074005,0.00352727,0.0114484,3.27853,3.26259,3.29437,0.0242615,0.0116081,0.0373938,0.298646,8.29572e-05,0.97907,0.000271964
5952845803,2023-01-18T13:51:04.188761,5952865321,2023-01-18T13:51:04.191317,0.00948982,0.0090694,0.00996117,3.27174,3.26826,3.27508,0.0310483,0.0296721,0.0325897,9.26017e-05,2.57227e-08,0.000302969,8.4158e-08
5963034539,2023-01-18T13:51:09.207983,6043487453,2023-01-18T13:51:49.541370,0.00740292,0.00353625,0.0114245,3.27846,3.26259,3.29437,0.0242689,0.0116377,0.0373253,0.297793,8.27204e-05,0.976254,0.000271182
6043495303,2023-01-18T13:51:49.543826,6043514818,2023-01-18T13:51:49.553458,0.00946931,0.00903947,0.00995518,3.27149,3.26826,3.27621,0.0309787,0.0295844,0.0325588,9.23873e-05,2.56631e-08,0.000302244,8.39567e-08
6053640197,2023-01-18T13:51:54.556754,6134016809,2023-01-18T13:52:34.792543,0.00739911,0.00353625,0.0114245,3.27833,3.26259,3.29437,0.0242555,0.0116337,0.0373058,0.297358,8.25994e-05,0.974789,0.000270775
6134024711,2023-01-18T13:52:34.794489,6134044244,2023-01-18T13:52:34.796989,0.00948066,0.00899159,0.00993124,3.27188,3.26826,3.27621,0.0310196,0.0294379,0.032503,9.25834e-05,2.57176e-08,0.000302922,8.41449e-08
6144250027,2023-01-18T13:52:39.824580,6224945035,2023-01-18T13:53:20.244837,0.00739601,0.00354523,0.0114275,3.27827,3.26145,3.29437,0.0242449,0.0116672,0.0373351,0.298411,8.28918e-05,0.978222,0.000271728
6224952852,2023-01-18T13:53:20.246276,6224972365,2023-01-18T13:53:20.248559,0.00946913,0.00904845,0.00996715,3.2716,3.26826,3.27621,0.0309792,0.0296035,0.0325979,9.23761e-05,2.566e-08,0.000302218,8.39494e-08
6235113170,2023-01-18T13:53:25.279406,6319837618,2023-01-18T13:54:07.617473,0.00740297,0.00355121,0.0114933,3.27844,3.26259,3.29437,0.0242689,0.0116829,0.0375372,0.313606,8.71129e-05,1.02809,0.00028558
6319845689,2023-01-18T13:54:07.622616,6319866240,2023-01-18T13:54:07.624365,0.00946452,0.00920406,0.0099881,3.27194,3.26826,3.27508,0.0309673,0.0301231,0.0326778,9.72432e-05,2.7012e-08,0.000318173,8.83815e-08
6330025943,2023-01-18T13:54:12.750715,6415297172,2023-01-18T13:54:55.356032,0.00739964,0.00353924,0.0114275,3.27845,3.26145,3.29437,0.0242581,0.0116395,0.0373351,0.315488,8.76356e-05,1.03426,0.000287294
6415305179,2023-01-18T13:54:55.360648,6415325727,2023-01-18T13:54:55.361658,0.0094702,0.00921005,0.00999708,3.27181,3.26713,3.27508,0.0309846,0.0301427,0.0326844,9.72873e-05,2.70243e-08,0.000318305,8.84181e-08
6425479408,2023-01-18T13:55:00.480439,6510603160,2023-01-18T13:55:43.074341,0.00740582,0.00350932,0.0114634,3.27818,3.26259,3.29437,0.0242764,0.011549,0.0374394,0.315206,8.75571e-05,1.03325,0.000287013
6510611253,2023-01-18T13:55:43.076139,6510631807,2023-01-18T13:55:43.085208,0.00947586,0.00921603,0.010021,3.27114,3.26713,3.27508,0.0309968,0.0301309,0.0327741,9.73739e-05,2.70483e-08,0.000318524,8.84788e-08
6520852436,2023-01-18T13:55:48.104155,6608066193,2023-01-18T13:56:31.783016,0.00739173,0.00350632,0.0114455,3.27831,3.26145,3.29324,0.0242312,0.0115312,0.0373938,0.32233,8.95362e-05,1.05665,0.000293513
6608074220,2023-01-18T13:56:31.784024,6608094768,2023-01-18T13:56:31.788165,0.00947314,0.00905444,0.00993723,3.27175,3.26826,3.27508,0.0309938,0.0296437,0.0325,9.73176e-05,2.70327e-08,0.000318399,8.84442e-08
6618242277,2023-01-18T13:56:36.810489,6703896310,2023-01-18T13:57:19.668678,0.00740511,0.00351231,0.0114514,3.27848,3.26259,3.29437,0.0242763,0.0115589,0.0374133,0.317139,8.80941e-05,1.03968,0.0002888
6703904321,2023-01-18T13:57:19.677003,6703924867,2023-01-18T13:57:19.680140,0.00947253,0.00905444,0.00995219,3.27196,3.26826,3.27621,0.0309937,0.0296231,0.032549,9.73018e-05,2.70283e-08,0.000318368,8.84354e-08
6714152651,2023-01-18T13:57:24.800745,6800196805,2023-01-18T13:58:07.906694,0.00740164,0.00353026,0.0114305,3.27849,3.26259,3.29437,0.024265,0.011614,0.0373221,0.318434,8.84539e-05,1.04393,0.000289981
6800204819,2023-01-18T13:58:07.914241,6800225373,2023-01-18T13:58:07.917370,0.00946869,0.00899159,0.00994022,3.27174,3.26826,3.27621,0.0309791,0.0294277,0.0325098,9.73003e-05,2.70279e-08,0.000318341,8.8428e-08
6810347807,2023-01-18T13:58:12.921203,6895919303,2023-01-18T13:58:55.689782,0.00740332,0.00354223,0.0114365,3.27852,3.26259,3.29437,0.0242707,0.0116534,0.0373774,0.316756,8.79879e-05,1.03844,0.000288455
6895927120,2023-01-18T13:58:55.691098,6895947668,2023-01-18T13:58:55.693293,0.00947502,0.00903349,0.010012,3.2718,3.26826,3.27508,0.0310004,0.0295751,0.0327561,9.73369e-05,2.7038e-08,0.000318467,8.84631e-08
6906164008,2023-01-18T13:59:00.820583,6992075538,2023-01-18T13:59:43.830408,0.00740199,0.00354523,0.0114395,3.27857,3.26259,3.29437,0.0242667,0.0116672,0.0373774,0.317958,8.83217e-05,1.04239,0.000289554
6992083550,2023-01-18T13:59:43.832677,6992104118,2023-01-18T13:59:43.836240,0.00948796,0.00905144,0.00993423,3.27179,3.26826,3.27621,0.0310426,0.0296133,0.0324903,9.75647e-05,2.71013e-08,0.000319211,8.86698e-08
7002390232,2023-01-18T13:59:48.859531,7087365697,2023-01-18T14:00:31.459496,0.007408,0.00355121,0.0114544,3.27837,3.26259,3.29437,0.0242849,0.0116829,0.0373872,0.314749,8.74303e-05,1.03181,0.000286614
7087373688,2023-01-18T14:00:31.461707,7087394238,2023-01-18T14:00:31.471538,0.00946507,0.00900955,0.0099073,3.27185,3.26826,3.27508,0.0309683,0.0294967,0.0323797,9.72441e-05,2.70123e-08,0.000318168,8.838e-08
7097520073,2023-01-18T14:00:36.461415,7182614296,2023-01-18T14:01:19.087718,0.00740574,0.00354223,0.0114724,3.27847,3.26259,3.29437,0.0242783,0.0116614,0.0374948,0.315093,8.75258e-05,1.03297,0.000286936
7182622274,2023-01-18T14:01:19.095966,7182642825,2023-01-18T14:01:19.099654,0.00947769,0.00923698,0.01003,3.27166,3.26713,3.27621,0.0310077,0.0302203,0.0328148,9.73785e-05,2.70496e-08,0.000318589,8.8497e-08
